"filename", "language", "Python", "Ini", "Markdown", "JSON", "comment", "blank", "total"
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\details.md", "Markdown", 0, 0, 70, 0, 0, 6, 76
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\diff-details.md", "Markdown", 0, 0, 114, 0, 0, 6, 120
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\diff.md", "Markdown", 0, 0, 52, 0, 0, 7, 59
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-08-05_06-20-55\results.md", "Markdown", 0, 0, 33, 0, 0, 7, 40
"d:\projetos\sd-gen-backend\api\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"d:\projetos\sd-gen-backend\api\api_auth.py", "Python", 6, 0, 0, 0, 26, 0, 32
"d:\projetos\sd-gen-backend\api\api_users.py", "Python", 14, 0, 0, 0, 0, 2, 16
"d:\projetos\sd-gen-backend\api\api_users_images.py", "Python", 9, 0, 0, 0, 6, 0, 15
"d:\projetos\sd-gen-backend\api\api_users_model.py", "Python", 2, 0, 0, 0, 0, 0, 2
"d:\projetos\sd-gen-backend\config copy.ini", "Ini", 0, -20, 0, 0, 0, -5, -25
"d:\projetos\sd-gen-backend\config.ini", "Ini", 0, 1, 0, 0, 0, 1, 2
"d:\projetos\sd-gen-backend\config_core.py", "Python", 0, 0, 0, 0, 0, -1, -1
"d:\projetos\sd-gen-backend\crypto_dash\crypto_core.py", "Python", 0, 0, 0, 0, 24, 0, 24
"d:\projetos\sd-gen-backend\functions_core.py", "Python", 1, 0, 0, 0, 0, 2, 3
"d:\projetos\sd-gen-backend\main.py", "Python", -2, 0, 0, 0, 0, 4, 2
"d:\projetos\sd-gen-backend\mongo\functions\user_folder_functions.py", "Python", 2, 0, 0, 0, 0, 0, 2
"d:\projetos\sd-gen-backend\mongo\functions\user_functions.py", "Python", 14, 0, 0, 0, 0, 2, 16
"d:\projetos\sd-gen-backend\mongo\functions\user_image_functions.py", "Python", 9, 0, 0, 0, 0, 1, 10
"d:\projetos\sd-gen-backend\mongo\models\image_model.py", "Python", 24, 0, 0, 0, 0, 0, 24
"d:\projetos\sd-gen-backend\mongo\models\user_model.py", "Python", 8, 0, 0, 0, 0, 2, 10
"d:\projetos\sd-gen-backend\mongo\mongo_data.py", "Python", 31, 0, 0, 0, 0, 0, 31
"d:\projetos\sd-gen-backend\sd_comfy\comfy_core.py", "Python", 4, 0, 0, 0, 0, 0, 4
"d:\projetos\sd-gen-backend\sd_comfy\comfy_faceswap.py", "Python", 16, 0, 0, 0, 82, 3, 101
"Total", "-", 138, -19, 269, 1, 138, 38, 565